,Formula,material_id,GVRH,PHONONS,PIEZO,DIELECTRIC,EXP_BAND_GAP
167,K2 Zn2 P2,mp-7437,1.0,1.0,0.0,1.0,0.0
168,K2 Au3,mp-8700,1.0,0.0,0.0,0.0,0.0
169,Ba1 P2 Pd2,mp-8236,1.0,0.0,0.0,0.0,0.0
170,Sm2 Ga4 Co2,mp-980004,1.0,0.0,0.0,0.0,0.0
171,Tb2 C1,mp-692,1.0,0.0,0.0,0.0,0.0
172,Tm2 Ag2 Sn2,mp-6917,1.0,0.0,0.0,0.0,0.0
173,Sm2 B4 C4,mp-6916,1.0,0.0,0.0,0.0,0.0
174,Ca2 Ga2,mp-6914,1.0,0.0,0.0,0.0,0.0
175,Zr3 As3 Ru3,mp-8221,1.0,0.0,0.0,0.0,0.0
176,K2 Cu2 Te2,mp-7436,1.0,1.0,0.0,1.0,0.0
177,Sm1 Cd1 Au2,mp-867882,1.0,0.0,0.0,0.0,0.0
178,Sm2 Cu1 Ir1,mp-867887,1.0,0.0,0.0,0.0,0.0
179,Eu1 Co2 Si2,mp-672294,1.0,0.0,0.0,0.0,0.0
180,Ca3 Pd3 Pb3,mp-672254,1.0,0.0,0.0,0.0,0.0
181,P2 F10,mp-8511,1.0,0.0,0.0,1.0,0.0
182,K2 Cu2 Se2,mp-7435,1.0,0.0,0.0,1.0,0.0
183,Na2 Cu2 Se2,mp-7433,1.0,0.0,0.0,0.0,0.0
184,Rb2 Pt1 F6,mp-8192,1.0,1.0,0.0,1.0,0.0
185,Sr1 Cd2 Sb2,mp-7432,1.0,0.0,0.0,0.0,0.0
186,K1 Sc1 O2,mp-8188,1.0,1.0,0.0,0.0,0.0
187,As12 Rh4,mp-8182,1.0,0.0,0.0,0.0,0.0
188,K1 Tl1 O2,mp-8175,1.0,1.0,0.0,0.0,0.0
189,Rb1 Tl1 O2,mp-8176,1.0,1.0,0.0,1.0,0.0
190,Ba1 Ga2,mp-1219,1.0,0.0,0.0,0.0,0.0
191,Ca2 Pd2 F8,mp-8161,1.0,1.0,0.0,0.0,0.0
192,Co4 B4 Mo4,mp-21347,1.0,0.0,0.0,0.0,0.0
193,Ba1 Cd2 Sb2,mp-8150,1.0,0.0,0.0,0.0,0.0
194,Np2 S2 O2,mp-8137,1.0,0.0,0.0,0.0,0.0
195,Sc2 Tl1 Ag1,mp-862366,1.0,0.0,0.0,0.0,0.0
196,Th2 S2 O2,mp-8136,1.0,0.0,0.0,0.0,1.0
197,Al2 Hg1 Te4,mp-7910,1.0,1.0,1.0,1.0,0.0
198,Ba1 Pt5,mp-811,1.0,0.0,0.0,0.0,1.0
199,Sr1 Zn2 Sb2,mp-7431,1.0,0.0,0.0,0.0,0.0
200,Ca1 Cd2 Sb2,mp-7430,1.0,0.0,0.0,1.0,0.0
201,Ba1 Zn2 P2,mp-7426,1.0,0.0,0.0,0.0,0.0
202,B2 Pd4,mp-7424,1.0,0.0,0.0,0.0,0.0
203,K3 Au1 O1,mp-9200,1.0,1.0,0.0,1.0,0.0
204,Pr1 Ni1 C2,mp-9312,1.0,0.0,0.0,0.0,0.0
205,K2 Zn2 As2,mp-7421,1.0,1.0,0.0,1.0,0.0
206,K2 Hg2 As2,mp-7420,1.0,0.0,0.0,0.0,0.0
207,Sb4 Pd8,mp-542106,1.0,0.0,0.0,0.0,0.0
208,Tl1 Cl1 O4,mp-30530,1.0,0.0,1.0,1.0,0.0
209,Pd8 Se2,mp-7818,1.0,0.0,0.0,0.0,0.0
210,Na2 Te2 Au2,mp-9264,1.0,0.0,0.0,0.0,0.0
211,Na2 Al2 Ge2,mp-7400,1.0,0.0,0.0,0.0,0.0
212,Ta2 Nb1 Ir1,mp-864640,1.0,0.0,0.0,0.0,0.0
213,Ti4 P4,mp-739,1.0,0.0,0.0,0.0,0.0
214,K2 Ag2 F8,mp-7387,1.0,0.0,0.0,0.0,0.0
215,Th1 P1,mp-931,1.0,0.0,0.0,0.0,0.0
216,Y1 As1,mp-933,1.0,0.0,0.0,0.0,1.0
217,Sc3 Ge3 Ru3,mp-9223,1.0,0.0,0.0,0.0,0.0
218,Sc1 Ga1 Ir2,mp-867916,1.0,0.0,0.0,0.0,0.0
219,Cu1 Ge1 Rh2,mp-867917,1.0,0.0,0.0,0.0,0.0
220,Ba4 As2 O1,mp-8300,1.0,0.0,0.0,0.0,0.0
221,Sb8 Au4,mp-738,1.0,0.0,0.0,0.0,0.0
222,Ba2 Cu2 Se2 F2,mp-9195,1.0,1.0,0.0,0.0,0.0
223,Tl4 F4,mp-720,1.0,0.0,0.0,1.0,0.0
224,Sc1 Cu1,mp-1169,1.0,0.0,0.0,0.0,0.0
225,Ba2 Cu4 O4,mp-7374,1.0,1.0,0.0,0.0,0.0
226,Mg1 Rh1,mp-1172,1.0,0.0,0.0,0.0,0.0
227,Ca3 Ni7 B2,mp-8308,1.0,0.0,0.0,0.0,0.0
228,Sm1 Er1 In2,mp-978542,1.0,0.0,0.0,0.0,0.0
229,Li1 Cu1 O2,mp-9158,1.0,1.0,0.0,1.0,1.0
230,Sr1 Ag2 Sn2,mp-7366,1.0,0.0,0.0,0.0,0.0
231,Sr1 Si2 Au2,mp-7365,1.0,0.0,0.0,0.0,0.0
232,Ca6 V2 N6,mp-9029,1.0,0.0,0.0,0.0,0.0
233,Ca1 Si2 Au2,mp-7364,1.0,0.0,0.0,0.0,0.0
234,Ba1 Sb2 O6,mp-9127,1.0,1.0,0.0,1.0,0.0
235,Ca1 Sb2 O6,mp-9125,1.0,1.0,0.0,1.0,0.0
236,Sr1 Zn2 Ge2,mp-7363,1.0,0.0,0.0,0.0,0.0
237,Sr1 Co2 Ge2,mp-7361,1.0,0.0,0.0,0.0,0.0
238,Rb4 Cu4 O4,mp-7470,1.0,1.0,0.0,0.0,0.0
239,Ba2 Ag2 As2,mp-7359,1.0,0.0,0.0,0.0,0.0
240,Cs1 Tb1 S2,mp-9085,1.0,0.0,0.0,0.0,0.0
241,Nd1 Tl1 Ag2,mp-974782,1.0,0.0,0.0,0.0,0.0
242,Ta2 C1 S2,mp-7814,1.0,0.0,0.0,0.0,0.0
243,Na1 Tm1 S2,mp-9076,1.0,0.0,0.0,0.0,0.0
244,Cd2 Cu2 F8,mp-9075,1.0,0.0,0.0,0.0,0.0
245,V6 As2 C2,mp-27769,1.0,0.0,0.0,0.0,0.0
246,Mg6 Ti4 Al36,mp-684031,1.0,0.0,0.0,0.0,0.0
247,Ba1 B2 Rh2,mp-7349,1.0,0.0,0.0,0.0,1.0
248,Y2 Si2 Au2,mp-9025,1.0,0.0,0.0,0.0,0.0
249,Sc2 Si2 Au2,mp-9023,1.0,0.0,0.0,0.0,0.0
250,Zn2 C2 O6,mp-9812,1.0,1.0,0.0,0.0,0.0
251,Cs2 Nb1 F6,mp-8995,1.0,0.0,0.0,0.0,0.0
252,P8 Pt4,mp-730,1.0,1.0,0.0,1.0,0.0
253,Rb2 Nb1 F6,mp-8994,1.0,0.0,0.0,0.0,0.0
254,Sr8 Cu4 O14,mp-766217,1.0,0.0,0.0,0.0,0.0
255,Li1 Cu2 P2,mp-7298,1.0,0.0,0.0,0.0,0.0
256,K2 Na1 In1 F6,mp-6686,1.0,0.0,0.0,0.0,0.0
257,Sc4 S2 O4,mp-7288,1.0,0.0,0.0,1.0,0.0
258,Si16 O32,mp-546794,1.0,1.0,1.0,0.0,0.0
259,Y1 Co3 B2,mp-5019,1.0,0.0,0.0,0.0,0.0
260,Mg2 Ni3 P1,mp-8969,1.0,0.0,0.0,0.0,0.0
261,Gd1 Ni2 P2,mp-21473,1.0,0.0,0.0,0.0,0.0
262,Cs2 Hg1 F4,mp-8963,1.0,1.0,0.0,0.0,0.0
263,Rb2 Hg1 F4,mp-8962,1.0,0.0,0.0,0.0,0.0
264,Sc1 Zn1 Rh2,mp-867769,1.0,0.0,0.0,0.0,0.0
265,Dy1 Mg1 Cd2,mp-867773,1.0,0.0,0.0,0.0,0.0
266,Ce2 As2 Pd2,mp-8948,1.0,0.0,0.0,0.0,1.0
267,Cs2 Li1 Ga1 F6,mp-6654,1.0,1.0,0.0,0.0,0.0
268,Ce1 Zn3 Cu2,mp-7247,1.0,0.0,0.0,0.0,0.0
269,Zr4 S4 O4,mp-3519,1.0,1.0,1.0,0.0,0.0
270,Ti6 Al16 Pt7,mp-978976,1.0,0.0,0.0,0.0,0.0
271,Sn1 Se2,mp-665,1.0,0.0,0.0,0.0,1.0
272,Pr3 Mg3 Ga3,mp-7239,1.0,0.0,0.0,0.0,1.0
273,Ho1 Ni2 B2 C1,mp-6646,1.0,0.0,0.0,0.0,0.0
274,Cs2 Hg1 O2,mp-7232,1.0,1.0,0.0,0.0,0.0
275,Sm6 Hg2,mp-980429,1.0,0.0,0.0,0.0,0.0
276,La4 Si4,mp-7083,1.0,0.0,0.0,0.0,1.0
277,Li1 Co6 P4,mp-8864,1.0,0.0,0.0,0.0,0.0
278,Rb2 Mg1 F4,mp-8861,1.0,1.0,0.0,1.0,0.0
279,Sr4 Si4 Pd4,mp-8843,1.0,0.0,0.0,0.0,1.0
280,Zr1 Al1 Au2,mp-864878,1.0,0.0,0.0,0.0,0.0
281,Cr8 Te16,mp-685055,1.0,0.0,0.0,0.0,0.0
282,Er1 Cd1 Cu4,mp-12008,1.0,0.0,0.0,0.0,0.0
283,Rb2 Na2 S2,mp-8799,1.0,0.0,0.0,1.0,0.0
284,Ba2 Cu1 O3,mp-8790,1.0,0.0,0.0,0.0,0.0
285,Ca4 As2 O1,mp-8789,1.0,1.0,0.0,0.0,0.0
286,Zr4 Ni2 As4,mp-8786,1.0,0.0,0.0,0.0,0.0
287,Cr6 N3,mp-8780,1.0,0.0,0.0,0.0,0.0
288,Pm2 Cu1 Sn1,mp-863676,1.0,0.0,0.0,0.0,0.0
289,Er4 In2,mp-877,1.0,0.0,0.0,0.0,0.0
290,Si6 Mo2 Pt4,mp-978568,1.0,0.0,0.0,0.0,0.0
291,Ta1 Al3,mp-869,1.0,0.0,0.0,0.0,1.0
292,V4 Ge1 Se8,mp-8689,1.0,0.0,0.0,0.0,0.0
293,V6 N3,mp-33090,1.0,0.0,0.0,0.0,0.0
294,Ca3 Cd1 O4,mp-755287,1.0,1.0,0.0,1.0,0.0
295,Sc1 Co2 Sn1,mp-3791,1.0,0.0,0.0,0.0,0.0
296,Y1 Ta1 Ru2,mp-865519,1.0,0.0,0.0,0.0,0.0
297,Na6 V2 O8,mp-755436,1.0,0.0,0.0,0.0,0.0
298,Er16 O24,mp-679,1.0,0.0,0.0,0.0,1.0
299,Hf1 Cu2 P2,mp-15986,1.0,0.0,0.0,0.0,1.0
300,K4 Ag2 P2,mp-9778,1.0,1.0,0.0,1.0,0.0
301,Ba2 Sb1 Au1,mp-862631,1.0,1.0,0.0,1.0,0.0
302,Mn3 Si1,mp-20211,1.0,0.0,0.0,0.0,0.0
303,Li30 Ge8,mp-1777,1.0,0.0,0.0,0.0,0.0
304,Sr3 Al2 Si2,mp-7068,1.0,0.0,0.0,0.0,0.0
305,Cu4 Si2 Te6,mp-675120,1.0,0.0,0.0,0.0,0.0
306,Cs4 Au4 O4,mp-9986,1.0,1.0,0.0,0.0,0.0
307,Cs1 Ag1 Br3,mp-998344,1.0,0.0,0.0,0.0,0.0
308,In1 P1,mp-20351,1.0,1.0,1.0,0.0,0.0
309,Y1 Sn6 Ru4,mp-639910,1.0,0.0,0.0,0.0,0.0
310,Sc2 P2 S8,mp-6999,1.0,0.0,0.0,0.0,0.0
311,Tb1 B2,mp-965,1.0,0.0,0.0,0.0,0.0
312,Cs2 Au2 O4,mp-997024,1.0,0.0,0.0,0.0,0.0
313,Li4 Nb4 N8,mp-1029903,1.0,0.0,0.0,0.0,0.0
314,Sm2 Cd6,mp-979465,1.0,0.0,0.0,0.0,0.0
315,Pr4 Si4,mp-9968,1.0,0.0,0.0,0.0,0.0
316,Nd4 Si4,mp-9967,1.0,0.0,0.0,0.0,0.0
317,Hf1 Zr1,mp-983459,1.0,0.0,0.0,0.0,0.0
318,Na8 Li4 Al4 P8,mp-9719,1.0,0.0,0.0,0.0,0.0
319,Li8 Ge8,mp-9918,1.0,0.0,0.0,0.0,0.0
320,Th1 Si2,mp-7497,1.0,0.0,0.0,0.0,0.0
321,Er2 Si2 O7,mp-7064,1.0,0.0,0.0,0.0,0.0
322,Ce4 Mg2 Si4,mp-505296,1.0,0.0,0.0,0.0,0.0
323,Al2 Hg1 Se4,mp-3038,1.0,1.0,1.0,1.0,0.0
324,Rb2 H2 F4,mp-29764,1.0,0.0,0.0,0.0,0.0
325,Na2 Pd3 O4,mp-27562,1.0,1.0,0.0,0.0,0.0
326,In2 Hg1 Se4,mp-20731,1.0,1.0,1.0,0.0,1.0
327,Sc2 Ga1 Cu1,mp-862340,1.0,0.0,0.0,0.0,0.0
328,Sc4 Sb2,mp-7192,1.0,0.0,0.0,0.0,0.0
329,K2 H6 Pt1,mp-643279,1.0,1.0,0.0,0.0,0.0
330,Ni3 Mo3 P3,mp-7632,1.0,0.0,0.0,0.0,0.0
331,Sn4 Rh8,mp-636334,1.0,0.0,0.0,0.0,0.0
332,Zr1 Zn1 Rh2,mp-977582,1.0,0.0,0.0,0.0,0.0
333,K6 B2 P4,mp-9664,1.0,1.0,0.0,0.0,0.0
334,Zn8 Sb8,mp-753,1.0,0.0,0.0,0.0,1.0
335,Li1 Pm2 Ir1,mp-861956,1.0,0.0,0.0,0.0,0.0
336,La8 S12,mp-7475,1.0,0.0,0.0,0.0,1.0
337,In4 O4 F4,mp-27175,1.0,0.0,0.0,0.0,0.0
338,Sr6 Fe2 N6,mp-35644,1.0,0.0,0.0,0.0,0.0
339,Sr2 Si12 N16,mp-567278,1.0,0.0,0.0,0.0,0.0
340,Ta4 O10,mp-1392387,1.0,0.0,0.0,0.0,0.0
341,Rb1 Hg1 F3,mp-7482,1.0,0.0,0.0,1.0,0.0
342,Li8 P8,mp-9588,1.0,0.0,0.0,0.0,0.0
343,Ti2 Mn1 Rh1,mp-866218,1.0,0.0,0.0,0.0,0.0
344,Ca1 Nd1 Zn2,mp-866220,1.0,0.0,0.0,0.0,0.0
345,Pt2 Pb8,mp-21296,1.0,0.0,0.0,0.0,0.0
346,Np12 S20,mp-982385,1.0,0.0,0.0,0.0,0.0
347,Ge6 As6,mp-9548,1.0,0.0,0.0,0.0,0.0
